Retutn_id,return_date,product_id,store_id,quantity
302,1/1/1997,250,6,1
303,1/1/1997,628,6,1
304,1/1/1997,869,6,1
305,1/2/1997,469,11,1
306,1/2/1997,532,23,2
307,1/2/1997,742,23,1
308,1/2/1997,761,11,1
309,1/2/1997,1396,11,1
310,1/3/1997,1,7,1
311,1/3/1997,365,7,2
312,1/3/1997,385,7,1
313,1/3/1997,671,7,1
314,1/3/1997,1329,23,2
315,1/5/1997,70,15,1
316,1/5/1997,461,7,1
317,1/5/1997,469,23,1
318,1/5/1997,850,7,1
319,1/5/1997,927,7,1
320,1/5/1997,961,23,1
321,1/5/1997,987,23,1
322,1/5/1997,1117,23,1
323,1/5/1997,1292,15,1
324,1/5/1997,1458,23,1
325,1/6/1997,23,24,1
326,1/6/1997,40,24,2
327,1/6/1997,43,6,1
328,1/6/1997,85,24,1
329,1/6/1997,193,24,1
330,1/6/1997,464,3,1
331,1/6/1997,918,3,1
332,1/6/1997,1104,24,2
333,1/6/1997,1296,3,1
334,1/7/1997,310,13,1
335,1/7/1997,418,13,1
336,1/7/1997,599,13,1
337,1/7/1997,638,13,1
338,1/7/1997,1078,13,1
339,1/7/1997,1152,13,2
340,1/7/1997,1257,11,1
341,1/9/1997,132,23,1
342,1/9/1997,254,3,1
343,1/9/1997,290,3,1
344,1/9/1997,568,23,1
345,1/9/1997,1081,3,2
346,1/9/1997,1164,3,1
347,1/9/1997,1230,3,1
348,1/9/1997,1371,23,1
349,1/10/1997,12,24,2
350,1/10/1997,238,24,1
351,1/10/1997,358,24,1
352,1/10/1997,964,24,1
353,1/11/1997,75,13,1
354,1/11/1997,107,13,1
355,1/11/1997,188,13,2
356,1/11/1997,189,13,1
357,1/11/1997,229,13,2
358,1/11/1997,391,13,1
359,1/11/1997,412,24,2
360,1/11/1997,475,13,1
361,1/11/1997,484,6,1
362,1/11/1997,569,13,1
363,1/11/1997,590,13,1
364,1/11/1997,594,17,2
365,1/11/1997,669,17,2
366,1/11/1997,804,13,1
367,1/11/1997,915,24,1
368,1/11/1997,950,6,1
369,1/11/1997,959,13,1
370,1/11/1997,992,13,1
371,1/11/1997,1046,13,1
372,1/11/1997,1049,13,1
373,1/11/1997,1063,13,1
374,1/11/1997,1226,13,1
375,1/11/1997,1319,13,1
376,1/11/1997,1327,24,1
377,1/11/1997,1393,13,1
378,1/11/1997,1404,13,1
379,1/11/1997,1445,13,1
380,1/12/1997,361,7,1
381,1/12/1997,726,7,1
382,1/13/1997,466,17,1
383,1/13/1997,551,17,1
384,1/13/1997,592,17,1
385,1/13/1997,895,17,1
386,1/13/1997,982,17,1
387,1/13/1997,1107,15,2
388,1/13/1997,1291,3,1
389,1/13/1997,1523,15,2
390,1/13/1997,1531,17,1
391,1/14/1997,439,6,1
392,1/14/1997,1098,6,2
393,1/15/1997,366,24,1
394,1/15/1997,603,24,1
395,1/15/1997,879,24,1
396,1/15/1997,1162,24,1
397,1/15/1997,1179,24,1
398,1/16/1997,391,17,1
399,1/16/1997,551,17,2
400,1/16/1997,760,17,2
401,1/16/1997,1043,17,1
402,1/16/1997,1398,17,1
403,1/16/1997,1439,17,1
404,1/17/1997,17,6,1
405,1/17/1997,176,11,1
406,1/17/1997,194,6,2
407,1/17/1997,320,24,1
408,1/17/1997,598,24,2
409,1/17/1997,865,24,1
410,1/17/1997,952,11,2
411,1/17/1997,954,24,2
412,1/17/1997,1004,11,1
413,1/17/1997,1271,24,1
414,1/18/1997,13,15,1
415,1/18/1997,139,15,1
416,1/18/1997,360,15,1
417,1/18/1997,537,15,1
418,1/19/1997,167,7,1
419,1/19/1997,434,16,1
420,1/19/1997,455,7,1
421,1/19/1997,497,7,1
422,1/19/1997,1051,16,1
423,1/19/1997,1337,7,1
424,1/19/1997,1463,7,1
425,1/19/1997,1496,16,2
426,1/19/1997,1542,7,1
427,1/20/1997,93,11,1
428,1/20/1997,100,13,1
429,1/20/1997,197,16,1
430,1/20/1997,271,13,1
431,1/20/1997,443,7,1
432,1/20/1997,563,16,1
433,1/20/1997,683,11,1
434,1/20/1997,784,13,1
435,1/20/1997,860,11,1
436,1/20/1997,894,7,1
437,1/20/1997,1038,11,1
438,1/20/1997,1045,16,2
439,1/20/1997,1053,16,1
440,1/20/1997,1212,11,1
441,1/20/1997,1218,13,1
442,1/20/1997,1220,13,1
443,1/20/1997,1355,16,1
444,1/20/1997,1357,13,2
445,1/20/1997,1402,13,1
446,1/20/1997,1556,16,1
447,1/21/1997,259,3,1
448,1/21/1997,360,16,1
449,1/21/1997,486,16,1
450,1/21/1997,520,3,2
451,1/21/1997,651,13,1
452,1/21/1997,851,13,1
453,1/21/1997,921,13,1
